date_day,close,high,last,low,open,max_volume,avg_volume
2020-07-16,257.8,261.29,260.29,256.03,260.14,4341900.0,18150.5
2020-07-17,258.08,260.65,260.625,259.63,259.63,2510600.0,31480.5
2020-07-18,258.08,260.65,260.38,257.72,260.03,3091300.0,3091300.0
2020-07-20,260.38,261.17,261.17,259.615,259.615,57230.0,24717.0
2020-07-21,260.38,263.83,263.81,261.465,261.465,2449000.0,28182.0
2020-07-22,262.42,265.53,265.5,262.565,262.565,2439900.0,39994.0
2020-07-23,265.17,267.74,267.5,267.07,267.21,2747200.0,60349.0
2020-07-24,265.17,267.8,266.86,264.54,267.8,2680102.0,34351.0
2020-07-25,263.81,266.89,265.31,262.99,265.04,2984507.0,2984507.0
2020-07-27,265.31,268.65,268.635,265.55,265.55,68623.0,36352.0
2020-07-28,267.42,268.87,268.87,268.475,268.475,2412476.0,40813.5
2020-07-29,267.42,269.07,266.965,265.365,268.56,2226974.0,38962.0
2020-07-30,265.28,267.3,267.235,264.17,264.8,2874097.0,48170.0
2020-07-31,266.31,267.345,266.82,265.28,265.28,2347799.0,38776.0
2020-08-01,266.31,267.17,265.49,260.61,265.0,3640388.0,3640388.0
2020-08-03,265.49,268.435,268.39,266.315,266.585,52143.0,25153.0
2020-08-04,266.18,268.58,267.7,266.39,266.73,2364447.0,23367.0
2020-08-05,267.87,268.32,268.32,268.01,268.01,2223957.0,33461.0
2020-08-06,267.87,270.44,270.44,267.0,268.39,1963860.0,29642.0
2020-08-07,269.37,274.875,274.56,270.675,270.675,2203428.0,75341.0
2020-08-08,269.37,274.9199,271.64,269.81,270.61,2846290.0,2846290.0
2020-08-10,271.64,274.995,274.935,272.37,272.37,45325.0,19382.0
2020-08-11,274.73,279.26,278.83,277.58,277.89,2393112.0,47389.0
2020-08-12,274.92,282.94,282.905,279.22,279.23,3321260.0,48599.0
2020-08-13,281.58,282.9673,282.47,281.0,281.02,3869967.0,21364.0
2020-08-14,281.66,282.655,281.895,281.485,281.485,2202427.0,30063.0
2020-08-15,281.66,282.0,280.55,279.19,281.14,2490422.0,2490422.0
2020-08-17,280.55,289.21,289.21,284.42,284.43,119703.0,50511.0
2020-08-18,288.24,290.405,289.79,288.9,288.9,5402936.0,80183.0
2020-08-19,288.24,290.58,287.79,286.89,288.9,6934290.0,69548.0
2020-08-20,285.0,287.97,282.86,281.93,287.46,4986759.0,47247.5
2020-08-21,282.86,283.455,283.27,279.99,280.535,3529991.0,210535.0
2020-08-22,280.68,283.55,283.23,278.42,279.97,5504045.0,5504045.0
2020-08-24,283.23,286.79,286.79,284.5,284.55,99897.0,67900.0
2020-08-25,286.75,287.43,287.25,287.25,287.295,4430864.0,31711.5
2020-08-26,286.75,292.09,292.05,287.37,287.37,2854466.0,32291.0
2020-08-27,291.93,292.84,292.84,292.195,292.195,4001938.0,37577.0
2020-08-28,291.93,292.95,288.63,288.505,292.22,3420263.0,19534.5
2020-08-29,288.63,288.83,286.29,284.77,288.31,3100102.0,3100102.0
2020-08-31,286.29,286.36,286.255,286.255,286.255,60320.0,22502.5
2020-09-01,286.29,286.69,286.64,284.39,285.0,4105437.0,35892.0
2020-09-02,285.94,286.68,286.61,285.72,286.5,3238088.0,40980.0
2020-09-03,287.2,288.04,287.2,287.115,287.345,3464637.0,64879.0
2020-09-04,287.2,287.7,276.52,275.26,287.3,5380082.0,46685.5
2020-09-05,274.63,276.77,269.66,264.6727,275.55,5253456.0,5253456.0
2020-09-08,269.66,270.975,270.975,267.67,267.67,104528.0,53183.5
2020-09-09,269.66,279.67,279.67,271.87,271.87,5208485.0,73303.0
2020-09-10,277.04,280.89,280.58,278.74,278.74,4754651.0,26806.0
2020-09-11,277.04,280.98,277.89,273.83,278.01,3156250.0,22804.0
2020-09-12,272.7,277.98,276.33,273.46,273.98,3729223.0,3729223.0
2020-09-14,276.33,282.4,282.19,278.46,278.46,95984.0,50216.0
2020-09-15,280.65,286.67,286.61,283.72,283.72,3055846.0,64848.0
2020-09-16,285.58,286.35,285.58,280.9,285.815,177653.0,87164.0
2020-09-17,285.58,286.58,282.56,280.6801,285.61,3380045.0,41342.0
2020-09-18,281.63,282.72,279.96,277.37,277.91,3166910.0,30993.0
2020-09-19,279.96,279.835,275.19,270.81,278.41,6072932.0,6072932.0
2020-09-21,275.19,272.74,272.67,271.66,271.68,68095.0,44282.5
2020-09-22,275.19,273.52,273.415,271.785,271.87,3547977.0,72241.0
2020-09-23,273.31,276.62,276.62,275.32,275.32,2972025.0,109980.0
2020-09-24,273.31,276.62,269.67,265.81,275.42,4467612.0,68226.0
2020-09-25,266.55,270.12,270.06,264.41,265.71,3095558.0,29856.0
2020-09-26,265.7,270.15,268.55,263.9194,264.19,2457922.0,2457922.0
2020-09-28,268.55,274.18,274.165,271.75,271.75,65483.0,29732.5
2020-09-29,272.33,274.22,273.78,272.55,273.21,3061079.0,50945.5
2020-09-30,272.33,279.825,279.8,273.265,273.4,2049239.0,31473.0
2020-10-01,277.71,279.93,279.6,279.06,279.28,4779076.0,68331.0
2020-10-02,277.71,281.09,281.01,275.85,279.44,2696923.0,38279.5
2020-10-03,277.62,281.08,279.31,274.1032,274.94,2943577.0,2943577.0
2020-10-05,279.31,282.42,282.28,280.77,280.77,103089.0,56108.0
2020-10-06,282.1,282.85,282.84,282.535,282.535,2324761.0,56728.0
2020-10-07,282.1,283.98,283.89,280.85,282.5,2992517.0,70382.0
2020-10-08,282.79,284.93,284.92,283.8,284.285,3423651.0,90584.0
2020-10-09,284.52,287.275,287.275,285.06,285.25,2256215.0,58695.0
2020-10-10,284.52,287.28,285.92,284.09,285.47,2240096.0,2240096.0
2020-10-12,285.92,288.28,288.165,286.76,287.41,130869.0,69235.0
2020-10-13,286.91,290.765,290.74,286.06,287.39,2411899.0,63101.0
2020-10-14,290.36,290.77,290.36,289.85,289.87,2699882.0,40914.0
2020-10-15,290.36,290.3,289.715,285.15,289.51,2203079.0,99418.0
2020-10-16,287.54,292.625,292.5,288.06,288.51,2700137.0,69009.0
2020-10-22,286.04,288.0187,285.555,283.9,285.39,2304473.0,52559.0
2020-10-23,284.51,285.68,282.97,281.835,283.93,2787332.0,33653.0
2020-10-24,281.16,283.19,283.0,279.55,282.38,1750747.0,1750747.0
2020-10-26,283.0,281.42,281.12,279.65,280.0,113387.0,54535.0
2020-10-27,283.0,281.5299,279.455,276.735,279.64,2911876.0,65252.5
