date,close,high,last,low,open,max_volume,avg_volume
2021-01-19T20:45:00+0000,127.14,128.69,127.92,126.94,128.32,971658.0,971658.0
2021-01-19T20:50:00+0000,127.14,128.69,127.695,126.94,128.32,982030.0,982030.0
2021-01-19T20:55:00+0000,127.14,128.69,127.87,126.94,128.32,1013697.0,1013697.0
2021-01-20T02:00:00+0000,127.14,128.71,127.83,126.938,127.78,90757329.0,90757329.0
2021-01-20T14:30:00+0000,127.83,128.74,128.63,128.52,128.68,2149.0,2149.0
2021-01-20T14:35:00+0000,127.83,129.66,129.57,128.52,128.68,51176.0,51176.0
2021-01-20T14:40:00+0000,127.83,130.12,130.07,128.52,128.68,68331.0,68331.0
2021-01-20T14:45:00+0000,127.83,130.355,130.345,128.52,128.68,96932.0,96932.0
2021-01-20T14:50:00+0000,127.83,130.355,130.275,128.52,128.68,133417.0,133417.0
2021-01-20T14:55:00+0000,127.83,130.4,130.31,128.52,128.68,155153.0,155153.0
2021-01-20T15:00:00+0000,127.83,130.4,130.0,128.52,128.68,163012.0,163012.0
2021-01-20T15:05:00+0000,127.83,130.4,130.155,128.52,128.68,175157.0,175157.0
2021-01-20T15:10:00+0000,127.83,130.57,130.525,128.52,128.68,209191.0,209191.0
2021-01-20T15:15:00+0000,127.83,130.94,130.905,128.52,128.68,235067.0,235067.0
2021-01-20T15:25:00+0000,127.83,131.2,130.81,128.52,128.68,262695.0,262695.0
2021-01-20T15:30:00+0000,127.83,131.2,131.17,128.52,128.68,274022.0,274022.0
2021-01-20T15:35:00+0000,127.83,131.285,131.14,128.52,128.68,303906.0,303906.0
2021-01-20T15:40:00+0000,127.83,131.285,131.21,128.52,128.68,315467.0,315467.0
2021-01-20T15:45:00+0000,127.83,131.51,131.39,128.52,128.68,329685.0,329685.0
2021-01-20T15:50:00+0000,127.83,131.72,131.44,128.52,128.68,348414.0,348414.0
2021-01-20T15:55:00+0000,127.83,131.72,131.525,128.52,128.68,363296.0,363296.0
2021-01-20T16:00:00+0000,127.83,131.82,131.63,128.52,128.68,382682.0,382682.0
2021-01-20T16:05:00+0000,127.83,131.82,131.5,128.52,128.68,395457.0,395457.0
2021-01-20T16:10:00+0000,127.83,131.82,131.165,128.52,128.68,409364.0,409364.0
2021-01-20T16:15:00+0000,127.83,131.82,131.48,128.52,128.68,420715.0,420715.0
2021-01-20T16:20:00+0000,127.83,131.82,131.69,128.52,128.68,427889.0,427889.0
2021-01-20T16:30:00+0000,127.83,131.88,131.83,128.52,128.68,452157.0,452157.0
2021-01-20T16:35:00+0000,127.83,131.93,131.765,128.52,128.68,469581.0,469581.0
2021-01-20T16:40:00+0000,127.83,131.93,131.835,128.52,128.68,476853.0,476853.0
2021-01-20T16:45:00+0000,127.83,131.93,131.84,128.52,128.68,489892.0,489892.0
2021-01-20T16:55:00+0000,127.83,132.25,132.14,128.52,128.68,521240.0,521240.0
2021-01-20T17:00:00+0000,127.83,132.25,132.095,128.52,128.68,524449.0,524449.0
2021-01-20T17:05:00+0000,127.83,132.25,132.105,128.52,128.68,532549.0,532549.0
2021-01-20T17:10:00+0000,127.83,132.25,131.97,128.52,128.68,539875.0,539875.0
2021-01-20T17:15:00+0000,127.83,132.25,131.86,128.52,128.68,545463.0,545463.0
2021-01-20T17:25:00+0000,127.83,132.25,132.035,128.52,128.68,564321.0,564321.0
2021-01-20T17:30:00+0000,127.83,132.25,131.975,128.52,128.68,569534.0,569534.0
2021-01-20T17:35:00+0000,127.83,132.25,131.73,128.52,128.68,574339.0,574339.0
2021-01-20T17:50:00+0000,127.83,132.25,131.74,128.52,128.68,603609.0,603609.0
2021-01-20T17:55:00+0000,127.83,132.25,131.78,128.52,128.68,605629.0,605629.0
2021-01-20T18:00:00+0000,127.83,132.25,131.885,128.52,128.68,607448.0,607448.0
2021-01-20T18:05:00+0000,127.83,132.25,131.89,128.52,128.68,620382.0,620382.0
2021-01-20T18:10:00+0000,127.83,132.25,131.975,128.52,128.68,624461.0,624461.0
2021-01-20T18:15:00+0000,127.83,132.25,132.015,128.52,128.68,627530.0,627530.0
2021-01-20T18:20:00+0000,127.83,132.25,131.945,128.52,128.68,628801.0,628801.0
2021-01-20T18:25:00+0000,127.83,132.25,131.865,128.52,128.68,629802.0,629802.0
2021-01-20T18:30:00+0000,127.83,132.25,132.17,128.52,128.68,633584.0,633584.0
2021-01-20T18:35:00+0000,127.83,132.39,132.385,128.52,128.68,639882.0,639882.0
2021-01-20T18:40:00+0000,127.83,132.43,132.265,128.52,128.68,647708.0,647708.0
2021-01-20T18:45:00+0000,127.83,132.43,132.16,128.52,128.68,657859.0,657859.0
2021-01-20T18:50:00+0000,127.83,132.43,132.05,128.52,128.68,664029.0,664029.0
2021-01-20T19:00:00+0000,127.83,132.43,131.935,128.52,128.68,672281.0,672281.0
2021-01-20T19:05:00+0000,127.83,132.43,131.905,128.52,128.68,679841.0,679841.0
2021-01-20T19:10:00+0000,127.83,132.43,132.055,128.52,128.68,688076.0,688076.0
2021-01-20T19:15:00+0000,127.83,132.43,131.83,128.52,128.68,695745.0,695745.0
2021-01-20T19:20:00+0000,127.83,132.43,131.88,128.52,128.68,702616.0,702616.0
2021-01-20T19:25:00+0000,127.83,132.43,131.98,128.52,128.68,709238.0,709238.0
2021-01-20T19:30:00+0000,127.83,132.43,132.155,128.52,128.68,714617.0,714617.0
2021-01-20T19:35:00+0000,127.83,132.43,132.29,128.52,128.68,720197.0,720197.0
2021-01-20T19:40:00+0000,127.83,132.43,132.36,128.52,128.68,748839.0,748839.0
2021-01-20T19:45:00+0000,127.83,132.475,132.45,128.52,128.68,767236.0,767236.0
2021-01-20T19:50:00+0000,127.83,132.49,132.425,128.52,128.68,776227.0,776227.0
2021-01-20T20:00:00+0000,127.83,132.49,132.23,128.52,128.68,796702.0,796702.0
2021-01-20T20:05:00+0000,127.83,132.49,132.175,128.52,128.68,801323.0,801323.0
2021-01-20T20:10:00+0000,127.83,132.49,132.14,128.52,128.68,808749.0,808749.0
2021-01-20T20:15:00+0000,127.83,132.49,132.01,128.52,128.68,817254.0,817254.0
2021-01-20T20:20:00+0000,127.83,132.49,132.025,128.52,128.68,827716.0,827716.0
2021-01-20T20:25:00+0000,127.83,132.49,132.22,128.52,128.68,835022.0,835022.0
2021-01-20T20:30:00+0000,127.83,132.49,132.225,128.52,128.68,841873.0,841873.0
2021-01-20T20:35:00+0000,127.83,132.49,132.34,128.52,128.68,849843.0,849843.0
2021-01-20T20:45:00+0000,127.83,132.49,132.28,128.52,128.68,869801.0,869801.0
2021-01-20T20:50:00+0000,127.83,132.49,132.15,128.52,128.68,883497.0,883497.0
2021-01-20T20:55:00+0000,127.83,132.49,132.22,128.52,128.68,903718.0,903718.0
2021-01-21T02:00:00+0000,127.83,132.49,132.03,128.55,128.66,104319489.0,104319489.0
2021-01-21T13:35:00+0000,132.03,134.22,134.22,133.95,134.02,105.0,105.0
2021-01-21T14:25:00+0000,132.03,134.22,133.68,133.52,134.02,645.0,645.0
2021-01-21T14:30:00+0000,132.03,134.22,133.79,133.52,134.02,1304.0,1304.0
2021-01-21T14:35:00+0000,132.03,134.42,133.98,133.52,134.02,118687.0,118687.0
2021-01-21T14:40:00+0000,132.03,134.995,134.48,133.52,134.02,213528.0,213528.0
2021-01-21T14:45:00+0000,132.03,134.995,134.05,133.52,134.02,271239.0,271239.0
2021-01-21T14:50:00+0000,132.03,134.995,134.715,133.52,134.02,319265.0,319265.0
2021-01-21T14:55:00+0000,132.03,135.05,134.79,133.52,134.02,422220.0,422220.0
2021-01-21T15:00:00+0000,132.03,135.05,134.85,133.52,134.02,461113.0,461113.0
2021-01-21T15:05:00+0000,132.03,135.305,135.105,133.52,134.02,498886.0,498886.0
2021-01-21T15:10:00+0000,132.03,135.39,135.285,133.52,134.02,534800.0,534800.0
2021-01-21T15:15:00+0000,132.03,135.845,135.54,133.52,134.02,570000.0,570000.0
2021-01-21T15:20:00+0000,132.03,135.885,135.74,133.52,134.02,594765.0,594765.0
2021-01-21T15:25:00+0000,132.03,135.885,135.74,133.52,134.02,621252.0,621252.0
2021-01-21T15:30:00+0000,132.03,135.97,135.875,133.52,134.02,640501.0,640501.0
2021-01-21T15:35:00+0000,132.03,135.97,135.73,133.52,134.02,669178.0,669178.0
2021-01-21T15:40:00+0000,132.03,135.97,135.535,133.52,134.02,698803.0,698803.0
2021-01-21T16:00:00+0000,132.03,136.34,135.995,133.52,134.02,810101.0,810101.0
2021-01-21T16:10:00+0000,132.03,136.375,136.325,133.52,134.02,856814.0,856814.0
2021-01-21T16:15:00+0000,132.03,136.375,136.28,133.52,134.02,882761.0,882761.0
2021-01-21T16:20:00+0000,132.03,136.375,136.14,133.52,134.02,902549.0,902549.0
2021-01-21T16:25:00+0000,132.03,136.375,136.075,133.52,134.02,927874.0,927874.0
2021-01-21T16:30:00+0000,132.03,136.375,136.165,133.52,134.02,943966.0,943966.0
2021-01-21T16:35:00+0000,132.03,136.375,135.945,133.52,134.02,968101.0,968101.0
2021-01-21T16:40:00+0000,132.03,136.375,135.72,133.52,134.02,985863.0,985863.0
2021-01-21T16:45:00+0000,132.03,136.375,135.8,133.52,134.02,996158.0,996158.0
2021-01-21T16:50:00+0000,132.03,136.375,135.995,133.52,134.02,1016851.0,1016851.0
2021-01-21T16:55:00+0000,132.03,136.375,136.14,133.52,134.02,1031459.0,1031459.0
2021-01-21T17:00:00+0000,132.03,136.375,136.07,133.52,134.02,1046604.0,1046604.0
2021-01-21T17:05:00+0000,132.03,136.375,135.99,133.52,134.02,1063334.0,1063334.0
